path,kind,size_bytes,sha256,rows,cols,title,description,keywords,author,license_override
data/table1_promises_vs_outcomes.csv,dataset,4757,f978bb7bc30d3d92cd33bb0b59bfab9c61c150fb720df547f04fe0f6b0eb7a13,17,6,Table 1 - Promises vs. Outcomes,Cross-administration comparison of promises vs. realized outcomes by section/domain.,promises; outcomes; cross-administrations; policy,Richard A. Hoffman,
data/appendix_b_evidence_to_claim.csv,dataset,4724,08b60f7f46532dfab5bc27fb529bd1f4dfd19f0af01d55d66630a600d9d0393c,10,12,Appendix B - Evidence -> Claim,"Claim-level mapping per subcase, including mechanism tags (test_type) and sources.",evidence; claim; mechanisms; tests; source mapping,Richard A. Hoffman,
data/appendix_c_indicators.csv,dataset,6241,93962295a3be3e567cb3ae506d8b4c8dabf7cf4f4ad42b86fdf9121afa714d36,16,15,Appendix C - Indicators,"Series/indicator metadata to contextualize outcomes (definition, unit, frequency, source_id).",indicators; metadata; series; frequency; unit,Richard A. Hoffman,
data/appendix_e_timelines.csv,dataset,6982,d77734f74812fcdebd044e19fbca5e6a0e66fe4dff9cadcf41286a981d64ec0d,33,11,Appendix E - Event timelines,Event timelines per subcase with ISO dates and optional date_precision.,timelines; ISO dates; events; date_precision,Richard A. Hoffman,
data/abbreviations.csv,dataset,2560,9e00621d815adf56fc0ec5cd19744426d200b09cbd378b476f5110c59ae41f94,49,3,Abbreviations,Abbreviation -> expansion with a simple scope tag.,abbreviations; glossary; scope,Richard A. Hoffman,
dictionaries/table1_promises_vs_outcomes_dictionary.csv,dictionary,768,63403dcee69ded7f92f0aa045306b7c430515d720a20b36d6040222e1bd1965b,7,9,Dictionary - Table 1 (Promises),"Column-level schema for Table 1: columns, allowed values, examples.",dictionary; schema; table1; validation,Richard A. Hoffman,
dictionaries/appendix_b_evidence_to_claim_dictionary.csv,dictionary,801,0e37be03b623848cd1f828049a723c2cc62ca8f8f89506f8e8d00ca50b788f9d,8,9,Dictionary - Appendix B (Evidence -> Claim),Column-level schema for Appendix B dictionary.,schema; appendix b; test_type; methods,Richard A. Hoffman,
dictionaries/appendix_c_indicators_dictionary.csv,dictionary,779,fcca390813a60f416675358537bb03bc03abc2bb862b0a5a31c945c9497fcd18,8,9,Dictionary - Appendix C (Indicators),Column-level schema for Appendix C dictionary.,schema; appendix c; indicators; frequency,Richard A. Hoffman,
dictionaries/appendix_e_timelines_dictionary.csv,dictionary,627,37d1640db02aef6e318109013aeea96659efd0dd349e9e7fe11284045a3e3071,7,9,Dictionary - Appendix E (Timelines),Column-level schema for Appendix E dictionary.,schema; appendix e; timelines; date_precision,Richard A. Hoffman,
dictionaries/abbreviations_dictionary.csv,dictionary,442,52eff9059d9d3f111a8fdd442d4b9f427998aa3388676f1dfe151346e5d5065e,4,9,Dictionary - Abbreviations,Column-level schema for abbreviations dictionary.,dictionary; schema; abbreviations,Richard A. Hoffman,
docs/readme_table1.md,doc,687,8786aef55e2489dd4c13e3e15a13663d62588f6f5ce1770501c5512d0cc226fe,,,Data guide - Table 1,"Mini guide for Table 1: columns, meaning, caveats.",data guide; table1; documentation,Richard A. Hoffman,
docs/readme_appendix_b.md,doc,1801,90e9c95715ecbd53bd037cb07a63d5fbffe5b694c1572d8b443c1d21912db4aa,,,Data guide - Appendix B,"Mini guide for Appendix B: columns, mechanism coding, examples.",data guide; appendix b; documentation,Richard A. Hoffman,
docs/readme_appendix_c.md,doc,796,a70456172ea9f97bb37a8a0580a04f85443559b22e9b3155205389797df84fa0,,,Data guide - Appendix C,Mini guide for Appendix C: indicators and metadata.,data guide; appendix c; documentation,Richard A. Hoffman,
docs/readme_appendix_e.md,doc,684,b8ccd1f7bc55eec60565be70d7a7853226d4b7416212bd67674271f824ea2cb3,,,Data guide - Appendix E,"Mini guide for Appendix E: event types, date precision, IDs.",data guide; appendix e; documentation,Richard A. Hoffman,
docs/readme_abbreviations.md,doc,777,d911c508d2010f784f26d56478423ae055e62ba234b00fa84022e8c26be61cb7,,,Data guide - Abbreviations,Mini guide for abbreviations file.,data guide; abbreviations; documentation,Richard A. Hoffman,
docs/CHANGELOG.md,doc,376,33b89dd511e9bc184f6041c32d14775332d3a85584a7592d035e2458afacad8a,,,CHANGELOG,Release history (v1.0 initial public release).,changelog; releases; history,Richard A. Hoffman,
metadata/zenodo.json,metadata,981,147513cbaba0cc681dca2275d80feeb2de60cc97953aa62b138701626810c3b1,,,Zenodo metadata (deposit JSON),"JSON metadata used for the Zenodo deposit (title, creators, DOI, license).",zenodo; deposit; doi; metadata,Richard A. Hoffman,
provenance/sources.csv,provenance,78,0c05fc1cf5b0824d32cc6dd502e9ffffb725d81ee9386867e3ac8c71636af182,1,9,Provenance sources,List of source_link keys and citations; provenance mapping for datasets.,provenance; citations; sources,Richard A. Hoffman,
checksums/SHA256SUMS,checksums,2402,21e92747f31762cb496c7c3e0b5a69c3d3856e575eb62d0560ae1e5e53bdec02,,,SHA256 checksums,Cryptographic hashes for integrity/reproducibility.,sha256; checksums; integrity; reproducibility,Richard A. Hoffman,
code/run_all.py,code,12782,409783adc4031e5c1cdbb0dd851677b8128196efad01305363ee9d2bf8ab6b18,,,Validator & utilities (CSV-first),CLI to summarize (`--summary`) and validate (`--validate`) the bundle.,python; cli; reproducibility,Richard A. Hoffman,
code/environment.yml,code,139,163dc3fb9ec224987d62d9ede3c76a672b313fe76b25efb566f4f46aa158f281,,,Conda environment (CSV-first),Conda environment specification for validator/utilities.,conda; environment,Richard A. Hoffman,
code/requirements.txt,code,40,b8528d50484b3f14ee913683e372e733a561a1e98f4911024347f932da265b1b,,,Python requirements (pip),Minimal pip dependencies for validator/utilities.,python; pip; dependencies,Richard A. Hoffman,
code/build_manifest.py,code,8809,02b9e30a586ceafb4d49e31818c98171d171953223e0884239593c44e98a840e,,,Build file manifest,Generates `metadata/file_manifest.csv` and `docs/FILE_MANIFEST.md`; safe merge for human fields.,manifest; metadata; file list; merge,Richard A. Hoffman,
code/summary.bat,code,63,34b441480615a6f78cc47d05a30af3d9e931ff4eeef4d7ece20ab52d726b2d79,,,Summary (Windows helper),Runs `python .\code\run_all.py --summary`.,windows; batch; summary; helper,Richard A. Hoffman,
code/validate.bat,code,182,41a728cace60d6900e189e35fd05f9fcddfca10f0fc7ec31958f9c9b63a009d4,,,Validate (Windows helper),Runs `python .\code\run_all.py --validate`.,windows; batch; validate; helper,Richard A. Hoffman,
code/zip_and_hash.ps1,code,2671,30b45515b1920cc8bfa4e987c5d10a5b6bc4372590e23eb171fc1ea16352ac7c,,,Zip + checksums + manifest + validate,"Rebuilds file manifest (unless -SkipManifest), refreshes checksums, validates, and writes the release zip.",powershell; release; checksums; zip,Richard A. Hoffman,
README.md,readme,7071,a142506a9998a9db51fcd8798024fa6d973da9661dde2ab63ecb8b92e2f855bb,,,README,"Overview, quick start, guide to data and docs.",readme; overview; documentation,Richard A. Hoffman,
CITATION.cff,citation,801,45adad77abac8fef373d569201c84e41e3009ec603edd324401f2e044771adca,,,Citation (CFF),Citation metadata for dataset; DOI and preferred citation.,citation; cff; doi,Richard A. Hoffman,
LICENSE,license,225,c3a527e3b7eb21fa49b7a6509cd6ba132b8add3ab8ff65a55538c4f20c145c41,,,Repository license,"Top-level summary: Code MIT, Data/metadata CC BY 4.0.",license; repository,Richard A. Hoffman,
LICENSE_CODE.txt,license,1075,6786e200bd66341971c52ae433a562e9e7dc1d1811fe771a90fea7ba67fb1111,,,LICENSE CODE,MIT License terms for code files.,license; code; MIT,Richard A. Hoffman,
LICENSE_DATA.txt,license,104,e0459d1c0a4be68ce0897a4db179b3f3c2090a6609022e612b17c5ea2239fc97,,,LICENSE DATA,CC BY 4.0 terms for data/metadata.,license; data; cc-by-4.0,Richard A. Hoffman,
